saved_frame_id,original_frame_index,time_sec,frame_file,crop_file,panel_mask_file,hotspot_mask_file,hotspot_overlay_file,x1,y1,x2,y2,panel_coverage,max_vertical_gap_ratio,junction_detected,smooth_non_grid_object_detected,largest_smooth_component_ratio,largest_smooth_edge_density,non_pv_hot_object_detected,largest_hot_component_ratio,largest_hot_component_edge_density,laplacian_sharpness,sobel_sharpness,mean_intensity,median_intensity,max_intensity,min_intensity,std_intensity,dynamic_range,p90_intensity,p95_intensity,p99_intensity,contrast_p95,contrast_max,hot_area_percentage,hotspot_threshold_intensity,hotspot_grid,hotspot_pixel_count,sharp_enough,panel_coverage_ok,junction_ok,non_pv_hot_object_ok,smooth_non_grid_object_ok,usable_frame,hotspot_detected
0,0,0.0,frame_0000_t_0.0s.jpg,crop_0000_t_0.0s.jpg,mask_0000_t_0.0s.jpg,hotspot_mask_0000_t_0.0s.jpg,hotspot_overlay_0000_t_0.0s.jpg,0,135,640,410,0.0068920454545454545,1.0,True,True,0.748465909090909,0.02451985121080999,False,7.386363636363637e-05,0.15384615384615385,1348.1448235639202,69.25480261643445,150.66214,174.0,243.0,2.0,57.012768,241.0,212.0,216.0,219.0,42.0,69.0,0.05276174773289365,236.0,R2C3,31,True,False,False,True,False,False,True
1,44,1.4681333333333333,frame_0001_t_1.5s.jpg,crop_0001_t_1.5s.jpg,mask_0001_t_1.5s.jpg,hotspot_mask_0001_t_1.5s.jpg,hotspot_overlay_0001_t_1.5s.jpg,0,135,640,410,0.009085227272727273,1.0,True,True,0.7523522727272727,0.025004908846496594,False,0.00013636363636363637,0.08333333333333333,1189.132575948347,68.0715836678724,153.63809,156.0,231.0,33.0,45.150146,198.0,206.6,219.4,230.96,63.399994,75.0,0.05503439649781113,237.0,R2C3,41,True,False,False,True,False,False,True
2,88,2.9362666666666666,frame_0002_t_2.9s.jpg,crop_0002_t_2.9s.jpg,mask_0002_t_2.9s.jpg,hotspot_mask_0002_t_2.9s.jpg,hotspot_overlay_0002_t_2.9s.jpg,0,135,640,410,0.005920454545454546,1.0,True,True,0.7649488636363636,0.024065779798114847,False,5.1136363636363635e-05,0.0,869.7943859730116,62.84914477704828,152.26749,169.0,245.0,2.0,57.411293,243.0,213.0,216.0,220.0,47.0,76.0,0.053742802303262956,237.0,R2C3,31,True,False,False,True,False,False,True
3,132,4.4044,frame_0003_t_4.4s.jpg,crop_0003_t_4.4s.jpg,mask_0003_t_4.4s.jpg,hotspot_mask_0003_t_4.4s.jpg,hotspot_overlay_0003_t_4.4s.jpg,0,135,640,410,0.002653409090909091,1.0,True,True,0.7721193181818182,0.027911665795883524,False,0.00010227272727272727,0.0,770.4544471306496,61.19516478261891,148.17165,157.0,246.0,3.0,57.621395,243.0,205.0,222.0,226.0,65.0,89.0,0.06209850107066381,242.0,R2C2,21,False,False,False,True,False,False,True
4,176,5.872533333333333,frame_0004_t_5.9s.jpg,crop_0004_t_5.9s.jpg,mask_0004_t_5.9s.jpg,hotspot_mask_0004_t_5.9s.jpg,hotspot_overlay_0004_t_5.9s.jpg,0,135,640,410,0.16726704545454546,0.584375,True,True,0.4494261363636364,0.02246551789529577,False,0.0015568181818181818,0.0,895.1714587169422,61.071124809217345,208.2418,214.0,242.0,28.0,24.79961,214.0,223.0,230.0,236.0,16.0,28.0,0.052549339311797276,232.0,R2C3,561,True,False,False,True,False,False,False
5,220,7.3406666666666665,frame_0005_t_7.3s.jpg,crop_0005_t_7.3s.jpg,mask_0005_t_7.3s.jpg,hotspot_mask_0005_t_7.3s.jpg,hotspot_overlay_0005_t_7.3s.jpg,0,135,640,410,0.16407386363636364,0.49375,True,True,0.22808522727272726,0.030864658844630445,False,0.0017670454545454545,0.07395498392282958,1201.5411327995869,65.04045722420791,208.35175,213.0,238.0,62.0,21.440954,176.0,222.0,227.5,236.0,14.5,25.0,0.05139037988710739,231.0,R2C2,737,True,False,False,True,False,False,False
6,264,8.8088,frame_0006_t_8.8s.jpg,crop_0006_t_8.8s.jpg,mask_0006_t_8.8s.jpg,hotspot_mask_0006_t_8.8s.jpg,hotspot_overlay_0006_t_8.8s.jpg,0,135,640,410,0.1650852272727273,0.50625,True,True,0.3947556818181818,0.024439742648646314,False,0.00175,0.05194805194805195,1528.6981565959454,70.16713838143839,207.46902,212.0,241.0,44.0,21.010668,197.0,221.0,226.0,235.0,14.0,29.0,0.053243847874720356,232.0,R2C2,599,True,False,False,True,False,False,False
7,308,10.276933333333334,frame_0007_t_10.3s.jpg,crop_0007_t_10.3s.jpg,mask_0007_t_10.3s.jpg,hotspot_mask_0007_t_10.3s.jpg,hotspot_overlay_0007_t_10.3s.jpg,0,135,640,410,0.325,0.578125,True,True,0.45535227272727274,0.023807741259264804,False,0.005545454545454545,0.03278688524590164,1161.5680435690856,65.82093730903546,190.58275,188.0,241.0,37.0,26.340586,204.0,219.0,221.0,233.06,33.0,53.0,0.056713286713286716,226.0,R2C1,1151,True,False,False,True,False,False,True
8,352,11.745066666666666,frame_0008_t_11.7s.jpg,crop_0008_t_11.7s.jpg,mask_0008_t_11.7s.jpg,hotspot_mask_0008_t_11.7s.jpg,hotspot_overlay_0008_t_11.7s.jpg,0,135,640,410,0.0011931818181818183,1.0,True,True,0.7843409090909091,0.029323983657384603,False,2.840909090909091e-05,0.0,992.3057608217977,62.95210679245217,144.41267,154.0,246.0,2.0,50.156513,244.0,211.0,218.0,230.0,64.0,92.0,0.06666666666666667,241.0,R2C3,6,True,False,False,True,False,False,True
9,396,13.2132,frame_0009_t_13.2s.jpg,crop_0009_t_13.2s.jpg,mask_0009_t_13.2s.jpg,hotspot_mask_0009_t_13.2s.jpg,hotspot_overlay_0009_t_13.2s.jpg,0,135,640,410,0.000375,1.0,True,True,0.8046931818181818,0.025976868654060695,False,6.818181818181818e-05,0.16666666666666666,767.1172524953512,57.72135085024115,144.27446,158.0,241.0,3.0,44.914867,238.0,178.0,210.0,220.0,52.0,83.0,0.3333333333333333,212.0,R2C1,12,False,False,False,True,False,False,True
10,440,14.681333333333333,frame_0010_t_14.7s.jpg,crop_0010_t_14.7s.jpg,mask_0010_t_14.7s.jpg,hotspot_mask_0010_t_14.7s.jpg,hotspot_overlay_0010_t_14.7s.jpg,0,135,640,410,0.003244318181818182,1.0,True,True,0.8078295454545454,0.02287977042861765,False,5.681818181818182e-05,0.0,611.8785393457839,53.19180109629292,147.64684,162.0,243.0,2.0,42.260517,241.0,182.0,185.0,203.0,23.0,81.0,0.05253940455341506,246.0,R2C3,29,False,False,False,True,False,False,False
11,484,16.149466666666665,frame_0011_t_16.1s.jpg,crop_0011_t_16.1s.jpg,mask_0011_t_16.1s.jpg,hotspot_mask_0011_t_16.1s.jpg,hotspot_overlay_0011_t_16.1s.jpg,0,135,640,410,0.002414772727272727,1.0,True,True,0.8140113636363636,0.019006603101922297,False,2.2727272727272726e-05,0.0,587.140770557722,51.19917281053131,146.38052,159.0,244.0,3.0,40.33947,241.0,179.0,183.0,210.0,24.0,85.0,0.05647058823529412,246.0,R2C3,18,False,False,False,True,False,False,False
12,528,17.6176,frame_0012_t_17.6s.jpg,crop_0012_t_17.6s.jpg,mask_0012_t_17.6s.jpg,hotspot_mask_0012_t_17.6s.jpg,hotspot_overlay_0012_t_17.6s.jpg,0,135,640,410,0.0047954545454545455,1.0,True,True,0.8171193181818182,0.01951840236974404,False,6.25e-05,0.09090909090909091,624.4149027252067,52.779667871153165,146.37419,160.0,241.0,3.0,39.713684,238.0,178.0,182.0,198.0,22.0,81.0,0.06635071090047394,244.0,R2C2,35,False,False,False,True,False,False,False
13,572,19.085733333333334,frame_0013_t_19.1s.jpg,crop_0013_t_19.1s.jpg,mask_0013_t_19.1s.jpg,hotspot_mask_0013_t_19.1s.jpg,hotspot_overlay_0013_t_19.1s.jpg,0,135,640,410,0.007642045454545454,1.0,True,True,0.818625,0.015713710628964865,False,8.522727272727273e-05,0.0,631.3023568490444,48.435341060262935,147.04565,160.0,242.0,3.0,39.741375,239.0,181.0,184.0,188.0,24.0,82.0,0.05204460966542751,244.0,R2C1,70,False,False,False,True,False,False,False
14,616,20.553866666666668,frame_0014_t_20.6s.jpg,crop_0014_t_20.6s.jpg,mask_0014_t_20.6s.jpg,hotspot_mask_0014_t_20.6s.jpg,hotspot_overlay_0014_t_20.6s.jpg,0,135,640,410,0.08372727272727273,0.915625,True,True,0.6528181818181819,0.014073596992062386,False,0.001625,0.07692307692307693,711.700752088843,56.40142259364822,166.89706,170.0,247.0,34.0,24.24763,213.0,179.0,214.7,230.0,44.699997,77.0,0.059446254071661236,226.0,R2C3,462,False,False,False,True,False,False,True
15,660,22.022000000000002,frame_0015_t_22.0s.jpg,crop_0015_t_22.0s.jpg,mask_0015_t_22.0s.jpg,hotspot_mask_0015_t_22.0s.jpg,hotspot_overlay_0015_t_22.0s.jpg,0,135,640,410,0.016897727272727273,1.0,True,True,0.3783465909090909,0.013906200723843277,False,0.00010227272727272727,0.05555555555555555,1055.8380161487605,63.721473805153984,152.28497,151.0,241.0,38.0,38.49738,203.0,200.8,215.4,234.48,64.399994,90.0,0.05211835911230666,239.0,R1C2,58,True,False,False,True,False,False,True
16,704,23.490133333333333,frame_0016_t_23.5s.jpg,crop_0016_t_23.5s.jpg,mask_0016_t_23.5s.jpg,hotspot_mask_0016_t_23.5s.jpg,hotspot_overlay_0016_t_23.5s.jpg,0,135,640,410,0.014619318181818181,1.0,True,True,0.6144772727272727,0.018973998594518624,False,6.818181818181818e-05,0.08333333333333333,743.1112910472302,56.200024162146,150.98788,148.0,232.0,44.0,42.172516,188.0,204.6,217.8,231.0,69.8,84.0,0.057909055577147296,241.0,R2C1,102,False,False,False,True,False,False,True
17,748,24.958266666666667,frame_0017_t_25.0s.jpg,crop_0017_t_25.0s.jpg,mask_0017_t_25.0s.jpg,hotspot_mask_0017_t_25.0s.jpg,hotspot_overlay_0017_t_25.0s.jpg,0,135,640,410,0.007017045454545455,1.0,True,True,0.8389488636363637,0.012563069316988926,False,7.954545454545455e-05,0.0,621.3698342897405,47.44249590970115,150.60797,161.0,243.0,2.0,35.43709,241.0,180.0,182.0,184.0,21.0,82.0,0.062348178137651825,233.0,R2C1,34,False,False,False,True,False,False,False
18,792,26.4264,frame_0018_t_26.4s.jpg,crop_0018_t_26.4s.jpg,mask_0018_t_26.4s.jpg,hotspot_mask_0018_t_26.4s.jpg,hotspot_overlay_0018_t_26.4s.jpg,0,135,640,410,0.002289772727272727,1.0,True,True,0.5077670454545454,0.016146899862365303,False,0.00010227272727272727,0.05555555555555555,601.7772498889141,46.18064828078292,147.70126,155.0,238.0,6.0,36.573154,232.0,183.2,194.0,198.0,39.0,83.0,0.05459057071960298,232.0,R1C3,14,False,False,False,True,False,False,True
19,836,27.894533333333335,frame_0019_t_27.9s.jpg,crop_0019_t_27.9s.jpg,mask_0019_t_27.9s.jpg,hotspot_mask_0019_t_27.9s.jpg,hotspot_overlay_0019_t_27.9s.jpg,0,135,640,410,0.0021647727272727274,1.0,True,True,0.5416761363636363,0.016321392982640164,False,3.409090909090909e-05,0.3333333333333333,567.9694580804494,46.59161473341755,141.70416,144.0,215.0,3.0,41.521885,212.0,190.0,195.0,199.0,51.0,71.0,0.05511811023622047,234.0,R1C2,20,False,False,False,True,False,False,True
20,880,29.362666666666666,frame_0020_t_29.4s.jpg,crop_0020_t_29.4s.jpg,mask_0020_t_29.4s.jpg,hotspot_mask_0020_t_29.4s.jpg,hotspot_overlay_0020_t_29.4s.jpg,0,135,640,410,0.054113636363636364,0.90625,True,True,0.5656363636363636,0.01748834779813565,False,0.0020397727272727273,0.0,470.2116294121578,47.88776850806712,111.19769,111.0,168.0,83.0,6.8862586,85.0,120.0,121.0,125.94,10.0,57.0,0.05470390592188156,122.0,R1C1,415,False,False,False,True,False,False,False
21,924,30.8308,frame_0021_t_30.8s.jpg,crop_0021_t_30.8s.jpg,mask_0021_t_30.8s.jpg,hotspot_mask_0021_t_30.8s.jpg,hotspot_overlay_0021_t_30.8s.jpg,0,135,640,410,0.0005,1.0,True,True,0.5198693181818181,0.01816452998458966,False,6.818181818181818e-05,0.08333333333333333,791.0407781068893,51.032075411403056,141.58723,157.0,240.0,3.0,45.30899,237.0,187.0,191.0,195.0,34.0,83.0,0.3977272727272727,192.0,R2C1,24,False,False,False,True,False,False,True
22,968,32.29893333333333,frame_0022_t_32.3s.jpg,crop_0022_t_32.3s.jpg,mask_0022_t_32.3s.jpg,hotspot_mask_0022_t_32.3s.jpg,hotspot_overlay_0022_t_32.3s.jpg,0,135,640,410,0.001409090909090909,1.0,True,True,0.3713409090909091,0.017060407613685047,False,3.409090909090909e-05,0.0,729.194027055656,49.175576622386295,141.77718,156.0,238.0,2.0,43.976437,236.0,186.0,191.0,195.0,35.0,82.0,0.05241935483870968,242.64999999999998,R2C1,13,False,False,False,True,False,False,True
23,1012,33.767066666666665,frame_0023_t_33.8s.jpg,crop_0023_t_33.8s.jpg,mask_0023_t_33.8s.jpg,hotspot_mask_0023_t_33.8s.jpg,hotspot_overlay_0023_t_33.8s.jpg,0,135,640,410,0.0013125,1.0,True,True,0.3715227272727273,0.016807365265798006,False,5.681818181818182e-05,0.0,677.6884764898955,48.65919365499569,142.21684,157.0,237.0,2.0,44.58192,235.0,187.0,191.0,195.0,34.0,80.0,0.08658008658008658,245.0,R2C1,20,False,False,False,True,False,False,True
24,1056,35.2352,frame_0024_t_35.2s.jpg,crop_0024_t_35.2s.jpg,mask_0024_t_35.2s.jpg,hotspot_mask_0024_t_35.2s.jpg,hotspot_overlay_0024_t_35.2s.jpg,0,135,640,410,0.003965909090909091,1.0,True,True,0.25391477272727275,0.014679227550403903,False,0.0001534090909090909,0.4444444444444444,594.0145636565082,51.03193767694503,142.53831,159.0,201.0,2.0,47.444176,199.0,187.0,192.0,195.0,33.0,42.0,0.054441260744985676,113.0,R1C3,27,False,False,False,True,False,False,True
25,1100,36.70333333333333,frame_0025_t_36.7s.jpg,crop_0025_t_36.7s.jpg,mask_0025_t_36.7s.jpg,hotspot_mask_0025_t_36.7s.jpg,hotspot_overlay_0025_t_36.7s.jpg,0,135,640,410,0.029818181818181817,0.9609375,True,True,0.23135795454545455,0.014612343132198728,False,0.0015113636363636364,0.0,520.821207144854,50.611050915942016,128.23256,130.0,158.0,76.0,17.505764,82.0,148.7,153.0,156.0,23.0,28.0,0.053353658536585365,154.0,R2C1,278,False,False,False,True,False,False,False
26,1144,38.17146666666667,frame_0026_t_38.2s.jpg,crop_0026_t_38.2s.jpg,mask_0026_t_38.2s.jpg,hotspot_mask_0026_t_38.2s.jpg,hotspot_overlay_0026_t_38.2s.jpg,0,135,640,410,0.05136363636363636,0.934375,True,True,0.20521022727272728,0.01046598554697234,False,0.0026875,0.0,512.6020122706611,47.4773922938296,164.74864,168.0,190.0,111.0,16.859705,79.0,182.0,185.0,188.0,17.0,22.0,0.05995575221238938,185.0,R2C3,523,False,False,False,True,False,False,False
