saved_frame_id,original_frame_index,time_sec,frame_file,crop_file,mask_file,x1,y1,x2,y2,panel_coverage,max_vertical_gap_ratio,junction_detected,laplacian_sharpness,sobel_sharpness,mean_pixel,max_pixel,min_pixel,std_pixel,dynamic_range,high_intensity_mean,background_mean,visual_contrast,sharp_enough,panel_coverage_ok,junction_ok,usable_frame,contrast_detected
0,0,0.0,frame_0000_t_0.0s.jpg,crop_0000_t_0.0s.jpg,mask_0000_t_0.0s.jpg,0,690,2048,1800,0.5024480046452703,0.072265625,False,3712.8791723849185,168.8382734801399,96.19456,255.0,26.0,31.654316,229.0,180.9061,87.0,93.9061,True,False,True,False,False
1,59,1.9686333333333335,frame_0001_t_2.0s.jpg,crop_0001_t_2.0s.jpg,mask_0001_t_2.0s.jpg,0,690,2048,1800,0.5392353779560811,0.0439453125,False,3159.3459852008796,163.5468709775448,97.85599,255.0,28.0,31.751057,227.0,181.09586,88.0,93.095856,True,False,True,False,False
2,118,3.937266666666667,frame_0002_t_3.9s.jpg,crop_0002_t_3.9s.jpg,mask_0002_t_3.9s.jpg,0,690,2048,1800,0.6645327456362613,0.001953125,False,3173.486909426134,162.12467712024858,93.64045,255.0,32.0,31.364569,223.0,183.45663,84.0,99.456635,True,True,True,True,True
3,177,5.9059,frame_0003_t_5.9s.jpg,crop_0003_t_5.9s.jpg,mask_0003_t_5.9s.jpg,0,690,2048,1800,0.6387866870777027,0.00927734375,False,3247.982866285046,168.30797668717287,97.152435,255.0,26.0,29.993097,229.0,185.47539,88.0,97.47539,True,True,True,True,True
4,236,7.874533333333334,frame_0004_t_7.9s.jpg,crop_0004_t_7.9s.jpg,mask_0004_t_7.9s.jpg,0,690,2048,1800,0.6672526041666667,0.0146484375,False,2547.151874892348,140.70968962630317,96.09647,255.0,25.0,29.636974,230.0,184.58167,89.0,95.581665,False,True,True,False,False
5,295,9.843166666666667,frame_0005_t_9.8s.jpg,crop_0005_t_9.8s.jpg,mask_0005_t_9.8s.jpg,0,690,2048,1800,0.6705671980574325,0.01416015625,False,2615.2934687921365,140.61917582977324,93.64053,255.0,30.0,29.490053,225.0,182.78174,86.0,96.78174,False,True,True,False,False
6,354,11.8118,frame_0006_t_11.8s.jpg,crop_0006_t_11.8s.jpg,mask_0006_t_11.8s.jpg,0,690,2048,1800,0.6545907235360361,0.01220703125,False,2650.4478242801833,139.7169403667736,92.55065,255.0,28.0,29.174881,227.0,181.08307,84.0,97.08307,False,True,True,False,False
7,413,13.780433333333333,frame_0007_t_13.8s.jpg,crop_0007_t_13.8s.jpg,mask_0007_t_13.8s.jpg,0,690,2048,1800,0.6294138865427928,0.0166015625,False,2602.4625972171925,138.7744543820572,93.63631,255.0,32.0,29.664,223.0,183.08679,86.0,97.08679,False,True,True,False,True
8,472,15.749066666666668,frame_0008_t_15.7s.jpg,crop_0008_t_15.7s.jpg,mask_0008_t_15.7s.jpg,0,690,2048,1800,0.6414634360923424,0.01220703125,False,3007.9459908023523,161.50291906782795,96.239655,254.0,30.0,29.608603,224.0,183.51599,88.0,95.51599,False,True,True,False,False
9,531,17.7177,frame_0009_t_17.7s.jpg,crop_0009_t_17.7s.jpg,mask_0009_t_17.7s.jpg,0,690,2048,1800,0.6729113879504505,0.0126953125,False,3010.412174973767,161.46900639409822,95.055954,255.0,34.0,29.308298,221.0,182.15494,87.0,95.15494,False,True,True,False,False
10,590,19.686333333333334,frame_0010_t_19.7s.jpg,crop_0010_t_19.7s.jpg,mask_0010_t_19.7s.jpg,0,690,2048,1800,0.6298515800957207,0.00830078125,False,3156.2373444336663,166.68875424619813,96.76146,250.0,35.0,29.464663,215.0,184.48561,88.0,96.48561,True,True,True,True,False
11,649,21.654966666666667,frame_0011_t_21.7s.jpg,crop_0011_t_21.7s.jpg,mask_0011_t_21.7s.jpg,0,690,2048,1800,0.6625400302646396,0.00439453125,False,3120.3854096292575,166.00271689330998,95.51406,249.0,40.0,29.430996,209.0,183.39519,87.0,96.39519,True,True,True,True,False
12,708,23.6236,frame_0012_t_23.6s.jpg,crop_0012_t_23.6s.jpg,mask_0012_t_23.6s.jpg,0,690,2048,1800,0.5712701471002253,0.14892578125,True,2702.379895058442,150.48265756228764,94.43857,251.0,30.0,30.042553,221.0,184.01819,87.0,97.01819,False,False,False,False,False
13,767,25.592233333333333,frame_0013_t_25.6s.jpg,crop_0013_t_25.6s.jpg,mask_0013_t_25.6s.jpg,0,690,2048,1800,0.5835682362049549,0.11474609375,True,2766.1901323894194,153.735941066106,95.65829,252.0,27.0,30.06509,225.0,186.55624,88.0,98.556244,False,False,False,False,True
14,826,27.560866666666666,frame_0014_t_27.6s.jpg,crop_0014_t_27.6s.jpg,mask_0014_t_27.6s.jpg,0,690,2048,1800,0.6418839738175676,0.01416015625,False,3035.3720758561026,166.09786879280705,95.17483,255.0,32.0,29.791237,223.0,184.78456,87.0,97.78456,False,True,True,False,True
15,885,29.529500000000002,frame_0015_t_29.5s.jpg,crop_0015_t_29.5s.jpg,mask_0015_t_29.5s.jpg,0,690,2048,1800,0.6193201013513514,0.01611328125,False,3352.986232953263,171.88769755916246,92.67367,255.0,40.0,29.63812,215.0,182.43178,84.0,98.43178,True,True,True,True,True
