saved_frame_id,original_frame_index,time_sec,frame_file,crop_file,panel_mask_file,hotspot_mask_file,hotspot_overlay_file,x1,y1,x2,y2,panel_coverage,max_vertical_gap_ratio,junction_detected,laplacian_sharpness,sobel_sharpness,mean_intensity,median_intensity,max_intensity,min_intensity,std_intensity,dynamic_range,p90_intensity,p95_intensity,p99_intensity,hotspot_contrast_p95,hotspot_contrast_max,hot_area_percentage,hotspot_threshold_intensity,hotspot_grid,hotspot_pixel_count,sharp_enough,panel_coverage_ok,junction_ok,usable_frame,hotspot_detected
0,0,0.0,frame_0000_t_0.0s.jpg,crop_0000_t_0.0s.jpg,mask_0000_t_0.0s.jpg,hotspot_mask_0000_t_0.0s.jpg,hotspot_overlay_0000_t_0.0s.jpg,0,135,640,410,0.7553579545454545,0.01875,False,1348.1448235639202,69.25480261643445,176.8539,178.0,229.0,5.0,27.344105,224.0,214.0,217.0,219.0,39.0,51.0,0.06593803359334452,217.0,R1C3,6045,True,True,True,True,True
1,44,1.4681333333333333,frame_0001_t_1.5s.jpg,crop_0001_t_1.5s.jpg,mask_0001_t_1.5s.jpg,hotspot_mask_0001_t_1.5s.jpg,hotspot_overlay_0001_t_1.5s.jpg,0,135,640,410,0.7614375,0.0125,False,1189.132575948347,68.0715836678724,176.52655,178.0,235.0,12.0,27.602228,223.0,213.0,216.0,219.0,38.0,57.0,0.058598792654443975,217.0,R1C3,5284,True,True,True,True,True
2,88,2.9362666666666666,frame_0002_t_2.9s.jpg,crop_0002_t_2.9s.jpg,mask_0002_t_2.9s.jpg,hotspot_mask_0002_t_2.9s.jpg,hotspot_overlay_0002_t_2.9s.jpg,0,135,640,410,0.7708693181818181,0.00625,False,869.7943859730116,62.84914477704828,177.35214,176.0,234.0,23.0,28.77201,211.0,214.0,217.0,220.0,41.0,58.0,0.06655708947248162,217.0,R1C3,6362,True,True,True,True,True
3,132,4.4044,frame_0003_t_4.4s.jpg,crop_0003_t_4.4s.jpg,mask_0003_t_4.4s.jpg,hotspot_mask_0003_t_4.4s.jpg,hotspot_overlay_0003_t_4.4s.jpg,0,135,640,410,0.7747727272727273,0.0078125,False,770.4544471306496,61.19516478261891,172.3447,176.0,237.0,23.0,31.61312,214.0,216.0,223.0,226.0,47.0,61.0,0.05803754766793781,224.0,R2C3,5718,False,True,True,False,True
4,176,5.872533333333333,frame_0004_t_5.9s.jpg,crop_0004_t_5.9s.jpg,mask_0004_t_5.9s.jpg,hotspot_mask_0004_t_5.9s.jpg,hotspot_overlay_0004_t_5.9s.jpg,0,135,640,410,0.7670511363636363,0.0109375,False,895.1714587169422,61.071124809217345,166.81595,169.0,242.0,28.0,33.902344,214.0,216.0,220.0,231.0,51.0,73.0,0.05528107199205932,221.0,R2C2,2844,True,True,True,True,True
5,220,7.3406666666666665,frame_0005_t_7.3s.jpg,crop_0005_t_7.3s.jpg,mask_0005_t_7.3s.jpg,hotspot_mask_0005_t_7.3s.jpg,hotspot_overlay_0005_t_7.3s.jpg,0,135,640,410,0.7700681818181818,0.0125,False,1201.5411327995869,65.04045722420791,163.27133,152.5,238.0,30.0,32.522484,208.0,214.0,219.0,229.0,66.5,85.5,0.050187409615441374,220.0,R2C2,3600,True,True,True,True,True
6,264,8.8088,frame_0006_t_8.8s.jpg,crop_0006_t_8.8s.jpg,mask_0006_t_8.8s.jpg,hotspot_mask_0006_t_8.8s.jpg,hotspot_overlay_0006_t_8.8s.jpg,0,135,640,410,0.7772954545454546,0.009375,False,1528.6981565959454,70.16713838143839,166.01472,157.0,241.0,44.0,31.22813,197.0,213.0,218.0,227.0,61.0,84.0,0.061701412239408206,219.0,R2C2,4066,True,True,True,True,True
7,308,10.276933333333334,frame_0007_t_10.3s.jpg,crop_0007_t_10.3s.jpg,mask_0007_t_10.3s.jpg,hotspot_mask_0007_t_10.3s.jpg,hotspot_overlay_0007_t_10.3s.jpg,0,135,640,410,0.7803522727272727,0.009375,False,1161.5680435690856,65.82093730903546,163.37561,154.0,241.0,37.0,30.94059,204.0,213.0,218.0,225.0,64.0,87.0,0.058656492551440925,219.0,R2C1,4083,True,True,True,True,True
8,352,11.745066666666666,frame_0008_t_11.7s.jpg,crop_0008_t_11.7s.jpg,mask_0008_t_11.7s.jpg,hotspot_mask_0008_t_11.7s.jpg,hotspot_overlay_0008_t_11.7s.jpg,0,135,640,410,0.7855340909090909,0.009375,False,992.3057608217977,62.95210679245217,164.05487,158.0,244.0,30.0,28.891802,214.0,213.0,218.0,227.0,60.0,86.0,0.05638173217411431,219.0,R2C1,4818,True,True,True,True,True
9,396,13.2132,frame_0009_t_13.2s.jpg,crop_0009_t_13.2s.jpg,mask_0009_t_13.2s.jpg,hotspot_mask_0009_t_13.2s.jpg,hotspot_overlay_0009_t_13.2s.jpg,0,135,640,410,0.8050681818181818,0.00625,False,767.1172524953512,57.72135085024115,161.07779,161.0,241.0,34.0,24.423367,207.0,179.0,212.0,220.0,51.0,80.0,0.05229653050278068,213.0,R2C1,3559,False,True,True,False,True
